Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Appalachian State University,197869,2005,Football Championship Subdivision,,"8,011,932","186,852","264,786","739,636","1,863,587","2,243,746","7,634,231","349,607","845,626","347,600","458,280"
Appalachian State University,197869,2006,Football Championship Subdivision,,"9,042,340","204,373","237,661","802,464","2,132,586","2,402,572","9,110,063","537,487","1,023,455","965,424","650,723"
Appalachian State University,197869,2007,Football Championship Subdivision,,"10,513,168","242,362","236,282","994,757","2,290,210","2,447,225","10,485,631","639,854","969,301","378,750","995,564"
Appalachian State University,197869,2008,Football Championship Subdivision,,"13,687,188","430,711","390,177","1,248,106","2,965,514","2,777,856","13,208,247","863,268","1,136,014","563,000","1,257,217"
Appalachian State University,197869,2009,Football Championship Subdivision,,"15,785,349","387,242","295,868","1,515,629","3,305,658","2,992,105","15,236,543","711,857","757,961","909,620","2,465,277"
Appalachian State University,197869,2010,Football Championship Subdivision,,"16,185,310","293,474","306,944","1,202,154","3,229,016","3,705,780","15,865,704","720,512","1,663,016","536,668","2,728,336"
Appalachian State University,197869,2011,Football Championship Subdivision,,"15,454,170","295,888","329,633","1,706,934","3,325,949","3,675,867","17,748,605","463,810","2,885,516","801,863","2,340,610"
Appalachian State University,197869,2012,Football Championship Subdivision,,"17,238,578","331,050","366,522","1,954,956","3,348,753","3,963,863","18,644,606","743,015","2,216,186","747,451","2,374,848"
Appalachian State University,197869,2013,Football Championship Subdivision,,"21,395,675","360,772","505,640","1,965,573","4,170,127","4,223,727","19,775,727","967,869","3,633,146","704,337","2,334,633"
Appalachian State University,197869,2014,Football Championship Subdivision,,"19,320,283","408,579","504,251","2,010,246","4,010,565","4,724,072","19,414,754","1,006,425","3,520,678","807,269","1,951,631"
Appalachian State University,197869,2015,Football Bowl Subdivision,Sun Belt Conference,"30,648,792","124,620","373,761","3,545,473","4,407,085","5,103,730","29,695,016","1,023,563","3,792,320","1,457,685","1,604,339"
Appalachian State University,197869,2016,Football Bowl Subdivision,Sun Belt Conference,"31,523,281","129,963","496,723","3,945,972","4,768,157","5,426,717","31,712,155","1,021,924","3,861,260","1,188,700","1,573,482"
Appalachian State University,197869,2017,Football Bowl Subdivision,Sun Belt Conference,"35,065,566","466,264","589,564","4,409,568","5,921,036","6,267,280","35,058,621","1,133,383","2,918,412","1,893,750","2,488,012"
Appalachian State University,197869,2018,Football Bowl Subdivision,Sun Belt Conference,"36,853,981","334,825","503,266","3,901,844","6,218,159","6,534,872","36,940,867","1,279,413","4,602,783","1,646,250","3,148,113"
Arizona State University,104151,2005,Football Bowl Subdivision,Pacific-12 Conference,"39,749,018","1,033,663","735,565","4,242,638","7,146,830","7,110,620","41,334,126","3,403,024","8,580,779","1,465,371","7,179,440"
Arizona State University,104151,2006,Football Bowl Subdivision,Pacific-12 Conference,"48,897,603","1,056,706","964,819","4,607,190","7,884,260","7,859,854","50,268,561","3,860,104","11,791,138","1,164,271","10,254,504"
Arizona State University,104151,2007,Football Bowl Subdivision,Pacific-12 Conference,"54,832,410","1,050,902","751,269","6,253,465","9,079,318","9,057,244","54,735,433","4,084,468","11,823,287","1,812,721","8,811,409"
Arizona State University,104151,2008,Football Bowl Subdivision,Pacific-12 Conference,"54,296,003","1,284,295","758,146","6,591,268","10,213,939","9,310,610","54,833,194","4,072,559","12,146,808","890,818","13,341,701"
