Rank,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
1,Georgia,Alabama,Alabama,USC,Alabama,Ohio St,Texas,Florida St,Florida,Ohio St,Alabama,Florida,USC,Tennessee,USC,USC,Texas
2,Ohio State,Ohio State,LSU,Alabama,LSU,Michigan,Alabama,Auburn,Oklahoma,Alabama,Notre Dame,USC,Florida,Michigan,LSU,LSU,Oklahoma
3,Texas,Georgia,Florida State,Auburn,Florida St,UCLA,Ohio St,Texas,Texas,LSU,Miami,Texas,Texas,Florida St,Miami,Oklahoma,Ohio St
4,USC,USC,Ohio State,Tennessee,Tennesseee,Alabama,Michigan,USC,Alabama,Georgia,Ohio St,Tennessee,Georgia,Georgia,Florida St,Florida,Miami
5,Alabama,Michigan,Mississippi,Georgia,Ohio St,Notre Dame,Florida,Georgia,USC,UCLA,Georgia,LSU,Notre Dame,Oklahoma,Michigan,Notre Dame,Tennessee
6,Penn State,Florida State,Georgia,Notre Dame,Notre Dame,Texas A&M,LSU,Ohio St,Auburn,North Carolina,Michigan,Auburn,Penn St,USC,Georgia,Miami,Florida St
7,Clemson,LSU,Texas,Texas,Texas A&M,Florida,Stanford,Alabama,LSU,Texas,LSU,South Carolina,LSU,Ohio St,Oklahoma,Tennessee,UCLA
8,Miami FL,Oklahoma,Michigan,Ohio St,Auburn,Georgia,Auburn,Notre Dame,UCLA,Tennessee,Florida St,Pittsburgh,Oklahoma,Iowa,Florida,Michigan,Texas A&M
9,Oklahoma,Auburn,Auburn,UCLA,Florida,LSU,Miami,LSU,Florida St,USC,USC,Oregon,Auburn,California,Tennessee,NC State,Georgia
10,Notre Dame,Notre Dame,USC,Texas A&M,USC,Mississippi,Oklahoma,Tennessee,Penn St,Oklahoma,UCLA,Michigan,Michigan,Nebraska,Texas,Texas A&M,Virginia
11,Florida State,Florida,Clemson,Florida St,Miami,Nebraska,Florida St,Oregon,Washington,Penn St,Clemson,Notre Dame,Pittsburgh,Florida,Ohio St,Georgia,Auburn
12,Auburn,Miami FL,Florida,LSU,Georgia,Clemson,UCLA,South Carolina,Michigan,Texas A&M,Florida,California,Florida St,Miami,Penn St,Florida St,USC
13,Oregon,Texas A&M,UCLA,Penn St,Oklahoma,Auburn,South Carolina,Texas Tech,Oregon,South Carolina,Oklahoma,Miami,Ohio St,Texas,Michigan St,North Carolina,Notre Dame
14,Florida,Stanford,Tennessee,Oklahoma,Oklahoma St,Washington,Georgia,Clemson,Miami,Michigan,Washington,North Carolina,Miami,Virginia,Texas A&M,Texas,Texas Tech
15,LSU,Penn State,Notre Dame,Clemson,Texas,Oklahoma,Oregon,Oklahoma,Mississippi,Stanford,Texas A&M,Georgia Tech,Mississippi,Arizona,Oregon,South Carolina,LSU
16,Washington,Clemson,Stanford,Mississippi,Stanford,Florida St,Notre Dame,California,Tennessee,Auburn,Texas,Ohio St,Oklahoma St,Alabama,Maryland,Auburn,Penn St
17,Texas A&M,Tennessee,Michigan State,Michigan St,Arizona St,Oregon,Clemson,Arkansas,Pittsburgh,Mississippi,Arizona St,Georgia,Texas Tech,Texas A&M,Texas Tech,Virginia,Mississippi St
18,South Carolina,Maryland,Texas A&M,Mississippi St,Mississippi,USC,Mississippi St,Oklahoma St,Oklahoma St,Florida St,Auburn,West Virginia,Alabama,Virginia Tech,North Carolina,Washington,South Carolina
19,UCLA,Oregon,Oklahoma,Arizona St,Michigan St,Vanderbilt,Arkansas,Nebraska,Notre Dame,Mississippi St,Illinois,Penn St,Arizona,LSU,Alabama,Colorado,Michigan
20,North Carolina,UCLA,Penn State,South Carolina,UCLA,Mississippi St,USC,Mississippi,Ohio St,Arkansas,Virginia Tech,Illinois,UCLA,South Carolina,NC State,Mississippi St,Florida
