,Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales,Total Football Spending,footall_expense_pct,football_expense_pct
0,Appalachian State,197869,2005,Football Championship Subdivision,,8011932.0,186852.0,264786.0,739636.0,1863587.0,2243746.0,7634231.0,349607.0,845626.0,347600.0,458280.0,5298607.0,0.6613394871549084,0.6613394871549084
1,Appalachian State,197869,2006,Football Championship Subdivision,,9042340.0,204373.0,237661.0,802464.0,2132586.0,2402572.0,9110063.0,537487.0,1023455.0,965424.0,650723.0,5779656.0,0.6391770271854409,0.6391770271854409
2,Appalachian State,197869,2007,Football Championship Subdivision,,10513168.0,242362.0,236282.0,994757.0,2290210.0,2447225.0,10485631.0,639854.0,969301.0,378750.0,995564.0,6210836.0,0.5907673120033847,0.5907673120033847
3,Appalachian State,197869,2008,Football Championship Subdivision,,13687188.0,430711.0,390177.0,1248106.0,2965514.0,2777856.0,13208247.0,863268.0,1136014.0,563000.0,1257217.0,7812364.0,0.5707793302758755,0.5707793302758755
4,Appalachian State,197869,2009,Football Championship Subdivision,,15785349.0,387242.0,295868.0,1515629.0,3305658.0,2992105.0,15236543.0,711857.0,757961.0,909620.0,2465277.0,8496502.0,0.5382524010080487,0.5382524010080487
5,Appalachian State,197869,2010,Football Championship Subdivision,,16185310.0,293474.0,306944.0,1202154.0,3229016.0,3705780.0,15865704.0,720512.0,1663016.0,536668.0,2728336.0,8737368.0,0.5398332191351293,0.5398332191351293
6,Appalachian State,197869,2011,Football Championship Subdivision,,15454170.0,295888.0,329633.0,1706934.0,3325949.0,3675867.0,17748605.0,463810.0,2885516.0,801863.0,2340610.0,9334271.0,0.603996914748576,0.603996914748576
7,Appalachian State,197869,2012,Football Championship Subdivision,,17238578.0,331050.0,366522.0,1954956.0,3348753.0,3963863.0,18644606.0,743015.0,2216186.0,747451.0,2374848.0,9965144.0,0.5780722748709319,0.5780722748709319
8,Appalachian State,197869,2013,Football Championship Subdivision,,21395675.0,360772.0,505640.0,1965573.0,4170127.0,4223727.0,19775727.0,967869.0,3633146.0,704337.0,2334633.0,11225839.0,0.5246779547735699,0.5246779547735699
9,Appalachian State,197869,2014,Football Championship Subdivision,,19320283.0,408579.0,504251.0,2010246.0,4010565.0,4724072.0,19414754.0,1006425.0,3520678.0,807269.0,1951631.0,11657713.0,0.6033924554831831,0.6033924554831831
10,Appalachian State,197869,2015,Football Bowl Subdivision,Sun Belt Conference,30648792.0,124620.0,373761.0,3545473.0,4407085.0,5103730.0,29695016.0,1023563.0,3792320.0,1457685.0,1604339.0,13554669.0,0.44225785473045726,0.44225785473045726
